julio,7021,tuvitrina.co,278,01/08/2021,"10,8", $3.748, $40.478
julio,6790,vendeporinternet.co,280,01/08/2021,"685,17", $3.748, $2.568.017
julio,6011,wimbu.co,001,02/08/2021,108, $3.748, $404.784
julio,6092,yaktil.com,263,01/08/2021,12, $3.748, $44.976
agosto,7838,3tcapital.co,210,01/09/2021,"40,41", $3.774, $152.507
agosto,7505,andres.forero.co,210,01/09/2021,"21,6", $3.774, $81.518
agosto,7897,expone.co,,01/09/2021,"8,01", $3.774, $30.230
agosto,7103,fincarsas.com,282,01/09/2021,"16,2", $3.774, $61.139
agosto,5662,Hicome.co,146,02/09/2021,"112,45", $3.774, $424.386
agosto,7735,joseluiscorrea.co,293,01/09/2021,"10,8", $3.774, $40.759
agosto,8006,keepsalud.co,210,01/09/2021,"9,41", $3.774, $35.513
agosto,6257,Linktic.co,Se carga en varios CC,01/09/2021,"422,85", $3.774, $1.595.836
agosto,6840,mafecarrascal.com,210,01/09/2021,"21,6", $3.774, $81.518
agosto,7505,miguelgutierrez.com.co,210,01/09/2021,"10,8", $3.774, $40.759
agosto,7505,nataliabedoya.com.co,210,01/09/2021,"10,8", $3.774, $40.759
agosto,7153,quierovenderenlinea.co,279,02/09/2021,"64,8", $3.774, $244.555
agosto,5562,tictur.org,258,01/09/2021,12, $3.774, $45.288
agosto,7021,tuvitrina.co,278,01/09/2021,"16,37", $3.774, $61.780
agosto,6790,vendeporinternet.co,280,01/09/2021,780, $3.774, $2.943.720
agosto,6011,wimbu.co,001,02/09/2021,"87,79", $3.774, $331.319
agosto,6092,yaktil.com,263,01/09/2021,12, $3.774, $45.288
septiembre,7838,3tcapital.co,210,01/10/2021,"33,66", $3.813, $128.338
septiembre,7505,andres.forero.co,210,01/10/2021,"9,72", $3.813, $37.060
septiembre,7897,expone.co,280,01/10/2021,"6,3", $3.813, $24.020
septiembre,8049,eduklab.co,298,01/10/2021,"1,62", $3.813, $6.177
septiembre,7103,fincarsas.com,282,01/10/2021,"16,2", $3.813, $61.767
septiembre,5662,Hicome.co,146,01/10/2021,120, $3.813, $457.532
septiembre,7735,joseluiscorrea.co,293,01/10/2021,"10,8", $3.813, $41.178
septiembre,8006,keepsalud.co,210,01/10/2021,"10,8", $3.813, $41.178
septiembre,6257,Linktic.co,Se carga en varios CC,01/10/2021,"584,4", $3.813, $2.228.183
septiembre,6840,mafecarrascal.com,210,01/10/2021,"9,36", $3.813, $35.688
septiembre,7505,miguelgutierrez.com.co,210,01/10/2021,"10,8", $3.813, $41.178
septiembre,7505,nataliabedoya.com.co,210,01/10/2021,"10,8", $3.813, $41.178
septiembre,7153,quierovenderenlinea.co,279,01/10/2021,"64,8", $3.813, $247.067
septiembre,5562,tictur.org,258,01/10/2021,12, $3.813, $45.753
septiembre,7021,tuvitrina.co,278,01/10/2021,"4,68", $3.813, $17.844
septiembre,6790,vendeporinternet.co,280,01/10/2021,"778,8", $3.813, $2.969.385
septiembre,6011,wimbu.co,001,01/10/2021,"86,4", $3.813, $329.423
septiembre,6092,yaktil.com,263,01/10/2021,12, $3.813, $45.753
octubre,7838,3tcapital.co,210,01/11/2021,"37,8", $3.784, $143.035
octubre,7505,andres.forero.co,210,01/11/2021,"10,8", $3.784, $40.867
octubre,7897,expone.co,280,01/11/2021,"5,4", $3.784, $20.434
octubre,8049,eduklab.co,298,01/11/2021,"5,4", $3.784, $20.434
octubre,7103,fincarsas.com,282,01/11/2021,"16,2", $3.784, $61.301
octubre,5662,Hicome.co,146,01/11/2021,"118,03", $3.784, $446.626
octubre,7735,joseluiscorrea.co,293,01/11/2021,"10,8", $3.784, $40.867
octubre,8006,keepsalud.co,210,01/11/2021,"10,8", $3.784, $40.867
octubre,6257,Linktic.co,Se carga en varios CC,01/11/2021,"660,61", $3.784, $2.499.748
octubre,6840,mafecarrascal.com,210,01/11/2021,"10,8", $3.784, $40.867
octubre,7505,miguelgutierrez.com.co,210,01/11/2021,"10,8", $3.784, $40.867
octubre,7505,nataliabedoya.com.co,210,01/11/2021,"10,8", $3.784, $40.867
octubre,5562,tictur.org,258,01/11/2021,"14,12", $3.784, $53.430
octubre,7021,tuvitrina.co,278,01/11/2021,"5,4", $3.874, $20.920
octubre,6790,vendeporinternet.co,280,01/11/2021,710, $3.874, $2.750.540
octubre,6011,wimbu.co,001,01/11/2021,"90,12", $3.874, $349.125
octubre,6092,yaktil.com,263,01/11/2021,12, $3.874, $46.488
Noviembre,7838,3tcapital.co,210,02/12/2021,"30,6", $3.953, $120.962
Noviembre,7505,andres.forero.co,210,02/12/2021,"10,8", $3.953, $42.692
Noviembre,7897,expone.co,280,02/12/2021,"5,4", $3.953, $21.346
Noviembre,8049,eduklab.co,298,02/12/2021,"7,92", $3.953, $31.308
Noviembre,7103,fincarsas.com,282,02/12/2021,"16,2", $3.953, $64.039
Noviembre,5662,Hicome.co,146,02/12/2021,"126,2", $3.953, $498.869
Noviembre,7735,joseluiscorrea.co,293,02/12/2021,"10,8", $3.953, $42.692
Noviembre,8006,keepsalud.co,210,02/12/2021,"10,8", $3.953, $42.692
Noviembre,6257,Linktic.co,Se carga en varios CC,03/12/2021,"752,8", $3.945, $2.969.796
Noviembre,6840,mafecarrascal.com,210,02/12/2021,"10,8", $3.953, $42.692
Noviembre,7505,miguelgutierrez.com.co,210,02/12/2021,"10,8", $3.953, $42.692
Noviembre,7505,nataliabedoya.com.co,210,02/12/2021,"10,8", $3.953, $42.692
Noviembre,5562,tictur.org,258,02/12/2021,18, $3.953, $71.154
Noviembre,7021,tuvitrina.co,278,02/12/2021,"5,4", $3.953, $21.346
Noviembre,6790,vendeporinternet.co,280,02/12/2021,"672,4", $3.953, $2.657.997
Noviembre,6011,wimbu.co,001,02/12/2021,96, $3.953, $379.488
Noviembre,6092,yaktil.com,263,02/12/2021,"12,2", $3.953, $48.227
Diciembre,7838,3tcapital.co,210,03/01/2022,"28,4", $3.981, $113.060
